id,complaint,category
935,I need assistance because received a different product Can you investigate this?,Product Issue
936,My issue is that a feature is not working Please look into it.,Technical Issue
937,Could you resolve this: cancellation option is not working Please provide a solution.,Cancellation
938,cancellation option is not working Please provide a solution.,Cancellation
939,Could you resolve this: account is locked Please provide a solution.,Account & Login
940,My issue is that received only part of the refund Can you investigate this?,Refund
941,"Please help, want an explanation of service options.",General Inquiry
942,I need assistance because refund was processed for wrong amount This needs to be fixed.,Refund
943,want to cancel order Kindly help me resolve the issue.,Cancellation
944,I would like to report that cannot log in.,Account & Login
945,Can you help? accidentally placed order and want to cancel Please look into it.,Cancellation
946,"Please help, want more information about the product Please resolve this.",General Inquiry
947,My issue is that charged twice for the same payment Please resolve this.,Billing & Payment
948,I would like to report that cancelled order money was not returned Please provide a solution.,Refund
949,My issue is that forgot password and cannot reset it This needs to be fixed.,Account & Login
950,how does the service work Please provide a solution.,General Inquiry
951,"Please help, cannot upload a file Can you check this for me?",Technical Issue
952,Could you resolve this: received a different product Can you investigate this?,Product Issue
953,getting an error message I need assistance with this.,Technical Issue
954,I want to report that payment failed despite sufficient balance I need assistance with this.,Billing & Payment
955,I am facing this problem: need information about my order I need assistance with this.,General Inquiry
956,I am facing this problem: product arrived damaged Kindly help me resolve the issue.,Product Issue
957,"Please help, need help cancelling service Please look into it.",Cancellation
958,Customer support needed: cannot access account from a new device I would appreciate your help.,Account & Login
959,I am facing this problem: cannot access account from a new device Please look into it.,Account & Login
960,I am facing this problem: courier has not contacted me Can you check this for me?,Delivery
961,Could you resolve this: screen is displaying incorrectly I would appreciate your help.,Technical Issue
962,I want to report that charged twice for the same payment Please resolve this.,Billing & Payment
963,I am facing this problem: cancellation option is not working Can you check this for me?,Cancellation
964,I would like to report that product has a defect Can you check this for me?,Product Issue
965,I want to report that package says delivered but was not received Can you investigate this?,Delivery
966,My issue is that how does the service work Please provide a solution.,General Inquiry
967,I am facing this problem: promised refund has not arrived Can you investigate this?,Refund
968,Customer support needed: delivery is later than promised Please resolve this.,Delivery
969,My issue is that want to find terms and conditions I need assistance with this.,General Inquiry
970,My issue is that cannot log in Kindly help me resolve the issue.,Account & Login
971,I want to report that application keeps crashing Kindly help me resolve the issue.,Technical Issue
972,I want to report that specifications do not match listing Please provide a solution.,Product Issue
973,I need assistance because verification code is not working Please provide a solution.,Account & Login
974,I would like to report that need information about services Kindly help me resolve the issue.,General Inquiry
975,"Please help, specifications do not match listing Please provide a solution.",Product Issue
976,Customer support needed: want an explanation of service options Kindly help me resolve the issue.,General Inquiry
977,Customer support needed: app freezes during checkout Please provide a solution.,Technical Issue
978,My issue is that how can I cancel my purchase Can you investigate this?,Cancellation
979,My issue is that refund is still pending This needs to be fixed.,Refund
980,"Please help, want to check refund status Kindly help me resolve the issue.",Refund
981,I want to report that want to know when package will arrive I would appreciate your help.,Delivery
982,"Please help, unable to verify account Can you investigate this?",Account & Login
983,"Please help, how can I cancel my purchase I need assistance with this.",Cancellation
984,I want to report that refunded amount is incorrect Can you check this for me?,Refund
985,Customer support needed: service stopped working after an update I need assistance with this.,Technical Issue
986,"Please help, want to find terms and conditions I need assistance with this.",General Inquiry
987,I want to report that need to cancel before shipping Can you check this for me?,Cancellation
988,I am facing this problem: need help with pending refund Please look into it.,Refund
989,I want to report that product has visible damage Please look into it.,Product Issue
990,I want to report that want to cancel subscription This needs to be fixed.,Cancellation
991,"Please help, page keeps refreshing.",Technical Issue
992,My issue is that need information about my order I need assistance with this.,General Inquiry
993,charged twice for the same payment Please resolve this.,Billing & Payment
994,I need assistance because account details will not update Kindly help me resolve the issue.,Account & Login
995,Can you help? cancellation option is not working Can you check this for me?,Cancellation
996,Could you resolve this: product has visible damage I would appreciate your help.,Product Issue
997,Could you resolve this: want to check refund status Kindly help me resolve the issue.,Refund
998,I would like to report that application is extremely slow Please resolve this.,Technical Issue
999,I would like to report that requested cancellation but order is still active Can you investigate this?,Cancellation
1000,Can you help? need information about services Kindly help me resolve the issue.,General Inquiry
1001,I need assistance because app freezes during checkout Please provide a solution.,Technical Issue
1002,"Please help, order has not been delivered Kindly help me resolve the issue.",Delivery
1003,Can you help? payment will not go through I need assistance with this.,Billing & Payment
1004,Customer support needed: item does not work as described Please resolve this.,Product Issue
1005,My issue is that received a different product Can you investigate this?,Product Issue
1006,Customer support needed: specifications do not match listing Please provide a solution.,Product Issue
1007,need help cancelling service I would appreciate your help.,Cancellation
1008,My issue is that product arrived damaged Kindly help me resolve the issue.,Product Issue
1009,I am facing this problem: item does not work as described Please resolve this.,Product Issue
1010,have a question about features I would appreciate your help.,General Inquiry
1011,I am facing this problem: want to cancel order Kindly help me resolve the issue.,Cancellation
1012,Can you help? want to change registered email Please resolve this.,Account & Login
1013,I would like to report that unclear charge on invoice Please provide a solution.,Billing & Payment
1014,account details will not update Kindly help me resolve the issue.,Account & Login
1015,Customer support needed: refund is missing from bank account I would appreciate your help.,Refund
1016,I want to report that want to check refund status Kindly help me resolve the issue.,Refund
1017,I am facing this problem: accidentally placed order and want to cancel Please look into it.,Cancellation
1018,My issue is that need help cancelling service I would appreciate your help.,Cancellation
1019,I need assistance because payment deducted but still pending Please look into it.,Billing & Payment
1020,Can you help? specifications do not match listing Please provide a solution.,Product Issue
1021,I am facing this problem: page keeps refreshing Kindly help me resolve the issue.,Technical Issue
1022,I am facing this problem: how does the service work Please provide a solution.,General Inquiry
1023,Can you help? courier has not contacted me Can you check this for me?,Delivery
1024,I would like to report that specifications do not match listing Please provide a solution.,Product Issue
1025,item arrived with missing parts Please look into it.,Product Issue
1026,Customer support needed: product has visible damage Please look into it.,Product Issue
1027,Could you resolve this: unclear charge on invoice Please provide a solution.,Billing & Payment
1028,page keeps refreshing.,Technical Issue
1029,I need assistance because item arrived broken I need assistance with this.,Product Issue
1030,I want to report that item arrived with missing parts Please look into it.,Product Issue
1031,I need assistance because screen is displaying incorrectly I would appreciate your help.,Technical Issue
1032,My issue is that item arrived broken I need assistance with this.,Product Issue
1033,I would like to report that product stopped working quickly.,Product Issue
1034,product quality is poor This needs to be fixed.,Product Issue
1035,"Please help, application is extremely slow Please resolve this.",Technical Issue
1036,I need assistance because service stopped working after an update Can you investigate this?,Technical Issue
1037,Customer support needed: received the wrong package Please resolve this.,Delivery
1038,Can you help? page keeps refreshing Kindly help me resolve the issue.,Technical Issue
1039,Can you help? getting an error message Can you investigate this?,Technical Issue
1040,Can you help? refund is still pending This needs to be fixed.,Refund
1041,I would like to report that page keeps refreshing.,Technical Issue
1042,I want to report that account is locked Can you check this for me?,Account & Login
1043,Could you resolve this: refunded amount is incorrect Can you check this for me?,Refund
1044,Can you help? package says delivered but was not received Can you investigate this?,Delivery
1045,I am facing this problem: application is extremely slow This needs to be fixed.,Technical Issue
1046,Could you resolve this: tracking has not updated Can you check this for me?,Delivery
1047,product stopped working quickly Kindly help me resolve the issue.,Product Issue
1048,I want to report that how can I cancel my purchase Can you investigate this?,Cancellation
1049,"Please help, cannot upload a file Please provide a solution.",Technical Issue
1050,delivery marked unsuccessful while I was available I need assistance with this.,Delivery
1051,Could you resolve this: product has a defect Can you check this for me?,Product Issue
1052,getting an error message Can you investigate this?,Technical Issue
1053,Could you resolve this: order has not been delivered Kindly help me resolve the issue.,Delivery
1054,"Please help, wrong amount charged Kindly help me resolve the issue.",Billing & Payment
1055,I need assistance because package is stuck with courier.,Delivery
1056,I want to report that item arrived with missing parts I would appreciate your help.,Product Issue
1057,My issue is that requested cancellation but order is still active I need assistance with this.,Cancellation
1058,I need assistance because requested refund but have not received it Kindly help me resolve the issue.,Refund
1059,I would like to report that login credentials are rejected Please look into it.,Account & Login
1060,Could you resolve this: want to know when package will arrive I would appreciate your help.,Delivery
1061,Could you resolve this: app freezes during checkout Can you check this for me?,Technical Issue
1062,I need assistance because application is extremely slow This needs to be fixed.,Technical Issue
1063,I want to report that unclear charge on invoice Can you check this for me?,Billing & Payment
1064,I need assistance because need help cancelling service I would appreciate your help.,Cancellation
1065,Can you help? want an explanation of service options.,General Inquiry
1066,I am facing this problem: payment deducted but still pending I would appreciate your help.,Billing & Payment
1067,"Please help, need information about services.",General Inquiry
1068,"Please help, package is stuck with courier.",Delivery
1069,Could you resolve this: need information about services Kindly help me resolve the issue.,General Inquiry
1070,I am facing this problem: want an explanation of service options Kindly help me resolve the issue.,General Inquiry
1071,Customer support needed: forgot password and cannot reset it This needs to be fixed.,Account & Login
1072,I would like to report that want more information about the product This needs to be fixed.,General Inquiry
1073,"Please help, want to know available plans Please resolve this.",General Inquiry
1074,I would like to report that cannot access account from a new device Please look into it.,Account & Login
1075,Customer support needed: refunded amount is incorrect Please provide a solution.,Refund
1076,"Please help, product has visible damage Please look into it.",Product Issue
1077,Can you help? payment failed despite sufficient balance Can you investigate this?,Billing & Payment
1078,My issue is that courier has not contacted me Can you check this for me?,Delivery
1079,I want to report that service stopped working after an update I need assistance with this.,Technical Issue
1080,I would like to report that refunded amount is incorrect Can you check this for me?,Refund
1081,I need assistance because want to stop recurring subscription.,Cancellation
1082,Customer support needed: page keeps refreshing.,Technical Issue
1083,I need assistance because need help with pending refund I would appreciate your help.,Refund
1084,I need assistance because cannot upload a file Please provide a solution.,Technical Issue
1085,I want to report that account is locked Please provide a solution.,Account & Login
1086,I want to report that received only part of the refund Can you investigate this?,Refund
1087,I need assistance because received only part of the refund Can you investigate this?,Refund
1088,My issue is that product has visible damage Please look into it.,Product Issue
1089,I need assistance because forgot password and cannot reset it Please resolve this.,Account & Login
1090,wrong amount charged.,Billing & Payment
1091,"Please help, website is not loading properly This needs to be fixed.",Technical Issue
1092,I would like to report that cannot log in Kindly help me resolve the issue.,Account & Login
1093,I would like to report that courier has not contacted me Please provide a solution.,Delivery
1094,Could you resolve this: accidentally placed order and want to cancel I would appreciate your help.,Cancellation
1095,"Please help, getting an error message I need assistance with this.",Technical Issue
1096,Customer support needed: want to cancel booking Please resolve this.,Cancellation
1097,package says delivered but was not received I need assistance with this.,Delivery
1098,Customer support needed: cannot log in.,Account & Login
1099,I want to report that want to cancel booking Please resolve this.,Cancellation
1100,Could you resolve this: password reset email is not arriving I need assistance with this.,Account & Login
1101,I would like to report that website is not loading properly This needs to be fixed.,Technical Issue
1102,Can you help? forgot password and cannot reset it This needs to be fixed.,Account & Login
1103,Could you resolve this: refund is still pending This needs to be fixed.,Refund
1104,Customer support needed: cannot log in Kindly help me resolve the issue.,Account & Login
1105,I need assistance because want to know support hours Can you check this for me?,General Inquiry
1106,I need assistance because refund was processed for wrong amount Please resolve this.,Refund
1107,I would like to report that cancellation option is not working Please provide a solution.,Cancellation
1108,Can you help? unclear charge on invoice Can you check this for me?,Billing & Payment
1109,Can you help? a feature is not working Please look into it.,Technical Issue
1110,Customer support needed: verification code is not working Can you check this for me?,Account & Login
1111,Can you help? product arrived damaged.,Product Issue
1112,I need assistance because want to check refund status.,Refund
1113,I am facing this problem: promised refund has not arrived I need assistance with this.,Refund
1114,Can you help? wrong amount charged.,Billing & Payment
1115,"Please help, refund was processed for wrong amount Please resolve this.",Refund
1116,Could you resolve this: need help with pending refund I would appreciate your help.,Refund
1117,"Please help, product quality is poor Please resolve this.",Product Issue
1118,I am facing this problem: want to cancel booking Please resolve this.,Cancellation
1119,I want to report that how does the service work Can you check this for me?,General Inquiry
1120,I want to report that want more information about the product This needs to be fixed.,General Inquiry
1121,My issue is that refunded amount is incorrect Can you check this for me?,Refund
1122,Can you help? a feature is not working I would appreciate your help.,Technical Issue
1123,"Please help, accidentally placed order and want to cancel Please look into it.",Cancellation
1124,My issue is that account details will not update.,Account & Login
1125,I want to report that a feature is not working Please look into it.,Technical Issue
1126,I need assistance because delivery is later than promised Please resolve this.,Delivery
1127,Could you resolve this: payment will not go through Can you investigate this?,Billing & Payment
1128,Can you help? want to cancel subscription This needs to be fixed.,Cancellation
1129,I would like to report that want to know available plans Please resolve this.,General Inquiry
1130,I need assistance because need to cancel before shipping Please provide a solution.,Cancellation
1131,Customer support needed: want to cancel order Kindly help me resolve the issue.,Cancellation
1132,I would like to report that incorrect invoice charge Please provide a solution.,Billing & Payment
1133,Could you resolve this: password reset email is not arriving Can you investigate this?,Account & Login
1134,I need assistance because want to cancel booking This needs to be fixed.,Cancellation
1135,Could you resolve this: application keeps crashing Kindly help me resolve the issue.,Technical Issue
1136,"Please help, need information about my order I need assistance with this.",General Inquiry
1137,I want to report that account details will not update Kindly help me resolve the issue.,Account & Login
1138,"Please help, item arrived broken Can you investigate this?",Product Issue
1139,"Please help, want more information about the product This needs to be fixed.",General Inquiry
1140,Could you resolve this: want to stop recurring subscription Kindly help me resolve the issue.,Cancellation
1141,I need assistance because password reset email is not arriving Can you investigate this?,Account & Login
1142,I would like to report that application keeps crashing Kindly help me resolve the issue.,Technical Issue
1143,Customer support needed: want to know when package will arrive I would appreciate your help.,Delivery
1144,Could you resolve this: incorrect invoice charge Can you check this for me?,Billing & Payment
1145,I would like to report that product has a defect Please provide a solution.,Product Issue
1146,Could you resolve this: want more information about the product Please resolve this.,General Inquiry
1147,Customer support needed: forgot password and cannot reset it Please resolve this.,Account & Login
1148,I would like to report that account details will not update Kindly help me resolve the issue.,Account & Login
1149,I need assistance because cannot upload a file Can you check this for me?,Technical Issue
1150,Could you resolve this: product arrived damaged.,Product Issue
1151,Customer support needed: product has a defect Please provide a solution.,Product Issue
1152,Can you help? service stopped working after an update I need assistance with this.,Technical Issue
1153,I want to report that payment will not go through Can you investigate this?,Billing & Payment
1154,Can you help? login credentials are rejected Please look into it.,Account & Login
1155,"Please help, delivery is later than promised Please resolve this.",Delivery
1156,I need assistance because want to find terms and conditions I need assistance with this.,General Inquiry
1157,I need assistance because want an explanation of service options Kindly help me resolve the issue.,General Inquiry
1158,Could you resolve this: product stopped working quickly.,Product Issue
1159,Can you help? app freezes during checkout Can you check this for me?,Technical Issue
1160,cannot access account from a new device Please look into it.,Account & Login
1161,My issue is that delivery marked unsuccessful while I was available I need assistance with this.,Delivery
1162,incorrect invoice charge Please provide a solution.,Billing & Payment
1163,I am facing this problem: app freezes during checkout Can you check this for me?,Technical Issue
1164,I need assistance because delivery marked unsuccessful while I was available I need assistance with this.,Delivery
1165,I need assistance because received the wrong package This needs to be fixed.,Delivery
1166,My issue is that want to stop recurring subscription.,Cancellation
1167,I would like to report that package is stuck with courier Kindly help me resolve the issue.,Delivery
1168,Customer support needed: want to stop recurring subscription.,Cancellation
1169,I would like to report that cancelled order money was not returned Can you check this for me?,Refund
1170,I am facing this problem: want to change registered email Please resolve this.,Account & Login
1171,order has not been delivered Kindly help me resolve the issue.,Delivery
1172,My issue is that need information about my order Can you investigate this?,General Inquiry
1173,item does not work as described This needs to be fixed.,Product Issue
1174,I need assistance because want to change registered email This needs to be fixed.,Account & Login
1175,I want to report that need to cancel before shipping Please provide a solution.,Cancellation
1176,I would like to report that verification code is not working Can you check this for me?,Account & Login
1177,"Please help, forgot password and cannot reset it This needs to be fixed.",Account & Login
1178,Customer support needed: payment deducted but still pending Please look into it.,Billing & Payment
1179,"Please help, package says delivered but was not received I need assistance with this.",Delivery
1180,a feature is not working Please look into it.,Technical Issue
1181,Can you help? package is stuck with courier.,Delivery
1182,"Please help, refund was processed for wrong amount This needs to be fixed.",Refund
1183,Could you resolve this: want to cancel subscription Please resolve this.,Cancellation
1184,Can you help? payment will not go through Can you investigate this?,Billing & Payment
1185,My issue is that want to check refund status Kindly help me resolve the issue.,Refund
1186,Customer support needed: package is stuck with courier.,Delivery
1187,Customer support needed: want to stop recurring subscription Kindly help me resolve the issue.,Cancellation
1188,My issue is that need information about services.,General Inquiry
1189,"Please help, need to cancel before shipping Can you check this for me?",Cancellation
1190,Could you resolve this: cancelled order money was not returned Can you check this for me?,Refund
1191,Customer support needed: getting an error message Can you investigate this?,Technical Issue
1192,I want to report that refund was processed for wrong amount Please resolve this.,Refund
1193,I am facing this problem: page keeps refreshing.,Technical Issue
1194,Customer support needed: need information about services Kindly help me resolve the issue.,General Inquiry
1195,I would like to report that product quality is poor This needs to be fixed.,Product Issue
1196,My issue is that package says delivered but was not received I need assistance with this.,Delivery
1197,Can you help? cannot access account from a new device Please look into it.,Account & Login
1198,My issue is that wrong amount charged.,Billing & Payment
1199,payment deducted but still pending I would appreciate your help.,Billing & Payment
1200,I would like to report that item arrived broken I need assistance with this.,Product Issue
1201,I would like to report that want to cancel booking This needs to be fixed.,Cancellation
1202,Can you help? want to know support hours Please provide a solution.,General Inquiry
1203,I am facing this problem: unexpected fee on bill.,Billing & Payment
1204,I am facing this problem: how does the service work Can you check this for me?,General Inquiry
1205,My issue is that have a question about features I would appreciate your help.,General Inquiry
1206,Customer support needed: refund is still pending This needs to be fixed.,Refund
1207,specifications do not match listing Can you check this for me?,Product Issue
1208,I would like to report that product arrived damaged Kindly help me resolve the issue.,Product Issue
1209,I need assistance because account details will not update.,Account & Login
1210,"Please help, item does not work as described This needs to be fixed.",Product Issue
1211,My issue is that item arrived broken Can you investigate this?,Product Issue
1212,My issue is that specifications do not match listing Please provide a solution.,Product Issue
1213,My issue is that want to know support hours Please provide a solution.,General Inquiry
1214,Can you help? how does the service work Can you check this for me?,General Inquiry
1215,I want to report that order has not been delivered Kindly help me resolve the issue.,Delivery
1216,I would like to report that delivery is later than promised This needs to be fixed.,Delivery
1217,My issue is that want to know support hours Can you check this for me?,General Inquiry
1218,Customer support needed: package says delivered but was not received Can you investigate this?,Delivery
1219,I need assistance because order has not been delivered Kindly help me resolve the issue.,Delivery
1220,Can you help? cannot log in Kindly help me resolve the issue.,Account & Login
1221,Customer support needed: refund was processed for wrong amount This needs to be fixed.,Refund
1222,I would like to report that wrong amount charged Kindly help me resolve the issue.,Billing & Payment
1223,Customer support needed: how does the service work Can you check this for me?,General Inquiry
1224,I want to report that cannot log in Kindly help me resolve the issue.,Account & Login
1225,I need assistance because want to check refund status Kindly help me resolve the issue.,Refund
1226,My issue is that requested cancellation but order is still active Can you investigate this?,Cancellation
1227,"Please help, want to know available plans This needs to be fixed.",General Inquiry
1228,Can you help? product has visible damage Please look into it.,Product Issue
1229,I would like to report that verification code is not working Please provide a solution.,Account & Login
1230,product stopped working quickly.,Product Issue
1231,I want to report that how can I cancel my purchase I need assistance with this.,Cancellation
1232,I am facing this problem: account details will not update Kindly help me resolve the issue.,Account & Login
1233,"Please help, package says delivered but was not received Can you investigate this?",Delivery
1234,Could you resolve this: need to cancel before shipping Can you check this for me?,Cancellation
1235,I would like to report that refund is still pending This needs to be fixed.,Refund
1236,I would like to report that item does not work as described This needs to be fixed.,Product Issue
1237,"Please help, want to check refund status.",Refund
1238,unclear charge on invoice Please provide a solution.,Billing & Payment
1239,I am facing this problem: order has not been delivered.,Delivery
1240,Can you help? cancelled order money was not returned Please provide a solution.,Refund
1241,Could you resolve this: application is extremely slow This needs to be fixed.,Technical Issue
1242,I want to report that wrong amount charged Kindly help me resolve the issue.,Billing & Payment
1243,Could you resolve this: unclear charge on invoice Can you check this for me?,Billing & Payment
1244,Can you help? need to cancel before shipping Please provide a solution.,Cancellation
1245,I would like to report that application is extremely slow This needs to be fixed.,Technical Issue
1246,I am facing this problem: cannot log in Kindly help me resolve the issue.,Account & Login
1247,Could you resolve this: package says delivered but was not received I need assistance with this.,Delivery
1248,Could you resolve this: need information about my order Can you investigate this?,General Inquiry
1249,Customer support needed: accidentally placed order and want to cancel I would appreciate your help.,Cancellation
1250,Could you resolve this: item arrived with missing parts Please look into it.,Product Issue
1251,Can you help? account is locked Can you check this for me?,Account & Login
1252,Could you resolve this: product arrived damaged Kindly help me resolve the issue.,Product Issue
1253,I am facing this problem: product quality is poor This needs to be fixed.,Product Issue
1254,My issue is that account is locked Can you check this for me?,Account & Login
1255,promised refund has not arrived Can you investigate this?,Refund
1256,My issue is that cancelled order money was not returned Please provide a solution.,Refund
1257,Can you help? want to find terms and conditions Can you investigate this?,General Inquiry
1258,Could you resolve this: app freezes during checkout Please provide a solution.,Technical Issue
1259,My issue is that payment failed despite sufficient balance I need assistance with this.,Billing & Payment
1260,"Please help, payment deducted but still pending Please look into it.",Billing & Payment
1261,My issue is that want to cancel order Kindly help me resolve the issue.,Cancellation
1262,Customer support needed: need help with pending refund Please look into it.,Refund
1263,I am facing this problem: product stopped working quickly.,Product Issue
1264,I would like to report that received only part of the refund I need assistance with this.,Refund
1265,Customer support needed: tracking has not updated Can you check this for me?,Delivery
1266,I would like to report that website is not loading properly Please resolve this.,Technical Issue
1267,"Please help, item arrived with missing parts Please look into it.",Product Issue
1268,I want to report that charged a different amount This needs to be fixed.,Billing & Payment
1269,Could you resolve this: want to cancel order Kindly help me resolve the issue.,Cancellation
1270,unclear charge on invoice Can you check this for me?,Billing & Payment
1271,want to know when package will arrive Please look into it.,Delivery
1272,I am facing this problem: payment failed despite sufficient balance I need assistance with this.,Billing & Payment
1273,refunded amount is incorrect Can you check this for me?,Refund
1274,I would like to report that unexpected fee on bill Kindly help me resolve the issue.,Billing & Payment
1275,I need assistance because received the wrong package Please resolve this.,Delivery
1276,My issue is that refund is missing from bank account Please look into it.,Refund
1277,I want to report that refund is still pending Please resolve this.,Refund
1278,I would like to report that service stopped working after an update Can you investigate this?,Technical Issue
1279,I would like to report that need help with pending refund I would appreciate your help.,Refund
1280,I need assistance because unexpected fee on bill.,Billing & Payment
1281,My issue is that unexpected fee on bill Kindly help me resolve the issue.,Billing & Payment
1282,I need assistance because account is locked Can you check this for me?,Account & Login
1283,I want to report that requested cancellation but order is still active Can you investigate this?,Cancellation
1284,want to check refund status Kindly help me resolve the issue.,Refund
1285,I would like to report that need help with pending refund Please look into it.,Refund
1286,I want to report that unexpected fee on bill Kindly help me resolve the issue.,Billing & Payment
1287,Customer support needed: product has a defect Can you check this for me?,Product Issue
1288,My issue is that cannot log in.,Account & Login
1289,Could you resolve this: want to know when package will arrive Please look into it.,Delivery
1290,My issue is that package is stuck with courier Kindly help me resolve the issue.,Delivery
1291,I would like to report that screen is displaying incorrectly I would appreciate your help.,Technical Issue
1292,Could you resolve this: refund was processed for wrong amount This needs to be fixed.,Refund
1293,I would like to report that need help cancelling service Please look into it.,Cancellation
1294,I am facing this problem: product has visible damage Please look into it.,Product Issue
1295,"Please help, application is extremely slow This needs to be fixed.",Technical Issue
1296,Can you help? specifications do not match listing Can you check this for me?,Product Issue
1297,I want to report that login credentials are rejected I would appreciate your help.,Account & Login
1298,I am facing this problem: wrong amount charged.,Billing & Payment
1299,I would like to report that unable to verify account Can you investigate this?,Account & Login
1300,My issue is that received the wrong package This needs to be fixed.,Delivery
1301,requested cancellation but order is still active I need assistance with this.,Cancellation
1302,Could you resolve this: have a question about features Please look into it.,General Inquiry
1303,My issue is that item does not work as described This needs to be fixed.,Product Issue
1304,Customer support needed: screen is displaying incorrectly Please look into it.,Technical Issue
1305,"Please help, how does the service work Can you check this for me?",General Inquiry
1306,I need assistance because website is not loading properly This needs to be fixed.,Technical Issue
1307,courier has not contacted me Can you check this for me?,Delivery
1308,I am facing this problem: item arrived with missing parts Please look into it.,Product Issue
1309,"Please help, need general information before ordering Please look into it.",General Inquiry
1310,charged twice for the same payment This needs to be fixed.,Billing & Payment
1311,My issue is that want to check refund status.,Refund
1312,Can you help? unexpected fee on bill.,Billing & Payment
1313,order has not been delivered.,Delivery
1314,My issue is that refund was processed for wrong amount Please resolve this.,Refund
1315,My issue is that page keeps refreshing.,Technical Issue
1316,I am facing this problem: unclear charge on invoice Please provide a solution.,Billing & Payment
1317,"Please help, product stopped working quickly Kindly help me resolve the issue.",Product Issue
1318,My issue is that cannot upload a file Can you check this for me?,Technical Issue
1319,I need assistance because cancellation option is not working Please provide a solution.,Cancellation
1320,Customer support needed: delivery marked unsuccessful while I was available Can you investigate this?,Delivery
1321,I need assistance because how does the service work Please provide a solution.,General Inquiry
1322,My issue is that delivery address was not followed Please look into it.,Delivery
1323,Could you resolve this: page keeps refreshing Kindly help me resolve the issue.,Technical Issue
1324,Can you help? want to know support hours Can you check this for me?,General Inquiry
1325,"Please help, cancellation option is not working Can you check this for me?",Cancellation
1326,I need assistance because want to know when package will arrive I would appreciate your help.,Delivery
1327,I want to report that product stopped working quickly.,Product Issue
1328,Can you help? delivery is later than promised Please resolve this.,Delivery
1329,I am facing this problem: cannot access account from a new device I would appreciate your help.,Account & Login
1330,I am facing this problem: website is not loading properly Please resolve this.,Technical Issue
1331,I am facing this problem: charged a different amount Please resolve this.,Billing & Payment
1332,"Please help, order has not been delivered.",Delivery
1333,Can you help? want to cancel booking Please resolve this.,Cancellation
1334,unexpected fee on bill Kindly help me resolve the issue.,Billing & Payment
1335,I would like to report that cannot upload a file Please provide a solution.,Technical Issue
1336,"Please help, app freezes during checkout Can you check this for me?",Technical Issue
1337,My issue is that getting an error message I need assistance with this.,Technical Issue
1338,Customer support needed: want to change registered email Please resolve this.,Account & Login
1339,I need assistance because a feature is not working Please look into it.,Technical Issue
1340,"Please help, want to know support hours Please provide a solution.",General Inquiry
1341,Can you help? incorrect billing information I would appreciate your help.,Billing & Payment
1342,I want to report that want to know when package will arrive Please look into it.,Delivery
1343,Can you help? website is not loading properly This needs to be fixed.,Technical Issue
1344,Customer support needed: cancellation option is not working Can you check this for me?,Cancellation
1345,My issue is that item arrived with missing parts I would appreciate your help.,Product Issue
1346,Could you resolve this: service stopped working after an update I need assistance with this.,Technical Issue
1347,need help with pending refund Please look into it.,Refund
1348,I want to report that received only part of the refund I need assistance with this.,Refund
1349,package says delivered but was not received Can you investigate this?,Delivery
1350,I am facing this problem: need help cancelling service Please look into it.,Cancellation
1351,Could you resolve this: item does not work as described This needs to be fixed.,Product Issue
1352,I am facing this problem: screen is displaying incorrectly I would appreciate your help.,Technical Issue
1353,item arrived broken Can you investigate this?,Product Issue
1354,My issue is that item arrived with missing parts Please look into it.,Product Issue
1355,I need assistance because refunded amount is incorrect Please provide a solution.,Refund
1356,I need assistance because requested cancellation but order is still active I need assistance with this.,Cancellation
1357,I would like to report that password reset email is not arriving Can you investigate this?,Account & Login
1358,I am facing this problem: payment will not go through I need assistance with this.,Billing & Payment
1359,Could you resolve this: charged a different amount This needs to be fixed.,Billing & Payment
1360,Could you resolve this: received a different product I need assistance with this.,Product Issue
1361,charged a different amount Please resolve this.,Billing & Payment
1362,I need assistance because accidentally placed order and want to cancel I would appreciate your help.,Cancellation
1363,Customer support needed: unclear charge on invoice Can you check this for me?,Billing & Payment
1364,I am facing this problem: wrong amount charged Kindly help me resolve the issue.,Billing & Payment
1365,Could you resolve this: want to find terms and conditions I need assistance with this.,General Inquiry
1366,Customer support needed: want to cancel order.,Cancellation
1367,"Please help, received a different product Can you investigate this?",Product Issue
1368,I am facing this problem: refund was processed for wrong amount This needs to be fixed.,Refund
1369,I am facing this problem: want to cancel order.,Cancellation
1370,Can you help? incorrect invoice charge Can you check this for me?,Billing & Payment
1371,I need assistance because cannot access account from a new device I would appreciate your help.,Account & Login
1372,"Please help, charged a different amount This needs to be fixed.",Billing & Payment
1373,received a different product I need assistance with this.,Product Issue
1374,My issue is that product stopped working quickly.,Product Issue
1375,My issue is that tracking has not updated Can you check this for me?,Delivery
1376,I am facing this problem: application is extremely slow Please resolve this.,Technical Issue
1377,I want to report that refunded amount is incorrect Please provide a solution.,Refund
1378,My issue is that a feature is not working I would appreciate your help.,Technical Issue
1379,I am facing this problem: unable to verify account I need assistance with this.,Account & Login
1380,I need assistance because want to find terms and conditions Can you investigate this?,General Inquiry
1381,Customer support needed: requested cancellation but order is still active Can you investigate this?,Cancellation
1382,Customer support needed: need information about my order I need assistance with this.,General Inquiry
1383,Could you resolve this: forgot password and cannot reset it This needs to be fixed.,Account & Login
1384,"Please help, product arrived damaged Kindly help me resolve the issue.",Product Issue
1385,I am facing this problem: need information about services Kindly help me resolve the issue.,General Inquiry
